Record_ID,Type,ID,Label,City,Degree,Start_ID,End_ID,Relationship Type,Current,Sources,Confidence
143,EDGE,E-134,JBF_NOMINEE_AT,Chicago,2,N-077,A-004,Award,True,"JBF Site 2022",NA
144,EDGE,E-137,JBF_NOMINEE_AT,Bozeman,1,N-062,A-019,Award,True,"JBF Site 2023",NA
145,EDGE,E-146,JBF_NOMINEE_AT,Cleveland,1,N-061,A-005,Award,True,"JBF Site 2023",NA
146,EDGE,E-150,JBF_NOMINEE_AT,Milwaukee,1,N-055,A-004,Award,True,"JBF Site 2024",NA
147,EDGE,E-151,JBF_NOMINEE_AT,Madison,1,P-015,A-008,Award,True,"JBF Site 2023",NA
148,EDGE,E-156,JBF_NOMINEE_AT,Chicago,1,P-064,A-008,Award,True,"JBF Site 2024",NA
149,EDGE,E-157,CURRENT_OWNER_AT,Chicago,1,P-064,N-082,Ownership,True,"Restaurant Site",NA
150,EDGE,E-158,JBF_NOMINEE_AT,Chicago,2,N-082,A-005,Award,True,"JBF Site 2024",NA
151,EDGE,E-161,JBF_NOMINEE_AT,Chicago,2,N-083,A-005,Award,True,"JBF Site 2024",NA
152,EDGE,E-163,MASTERCHEF_COMPETITOR,Des Moines,2,N-052,A-080,Award,True,"TV Show Site",NA
153,EDGE,E-164,JBF_NOMINEE_AT,Boise,1,N-084,A-003,Award,True,"JBF Site 2023",NA
154,EDGE,E-165,CURRENT_OWNER_AT,Boise,1,P-066,N-084,Ownership,True,"Restaurant Site",NA
155,EDGE,E-167,JBF_NOMINEE_AT,Seattle,3,N-085,A-003,Award,True,"JBF Site 2024",NA
156,EDGE,E-169,JBF_NOMINEE_AT,Chicago,2,P-049,A-008,Award,True,"JBF Site 2024",NA
157,EDGE,E-172,BIB_GOURMAND_AWARDED_TO,Chicago,1,A-008,P-067,Award,True,"Michelin Guide",NA
158,EDGE,E-173,CURRENT_OWNER_AT,Chicago,1,P-067,N-087,Ownership,True,"Restaurant Site",NA
159,EDGE,E-174,JBF_NOMINEE_AT,Chicago,2,N-087,A-005,Award,True,"JBF Site 2024",NA
160,EDGE,E-175,JBF_NOMINEE_AT,Augusta,1,N-050,A-016,Award,True,"JBF Site 2024",NA
161,EDGE,E-177,JBF_NOMINEE_AT,Anchorage,1,P-028,A-003,Award,True,"JBF Site 2024",NA
162,EDGE,E-178,TOP_CHEF_COMPETITOR,Anchorage,2,N-068,A-006,Award,True,"TV Show Site",NA
163,EDGE,E-181,TOP_CHEF_COMPETITOR,NYC,3,N-034,A-006,Award,True,"Bravo TV",NA
164,EDGE,E-182,TOP_CHEF_COMPETITOR,SF/LA,4,N-031,A-006,Award,True,"Bravo TV",NA
165,EDGE,E-183,TOP_CHEF_COMPETITOR,NYC,5,N-029,A-006,Award,True,"Bravo TV",NA
166,EDGE,E-184,MASTERCHEF_COMPETITOR,Dothan,1,N-032,A-080,Award,True,"Fox TV",NA
167,EDGE,E-185,MASTERCHEF_COMPETITOR,KC,2,N-035,A-080,Award,True,"Fox TV",NA
168,EDGE,E-186,MASTERCHEF_COMPETITOR,LA,3,N-042,A-080,Award,True,"Fox TV",NA
169,EDGE,E-187,MASTERCHEF_COMPETITOR,Louisville,4,N-036,A-080,Award,True,"Fox TV",NA
170,EDGE,E-188,NEXT_LEVEL_CHEF_COMPETITOR,Multiple,1,N-044,A-013,Award,True,"Fox TV",NA
171,EDGE,E-189,FOOD_WINE_BEST_NEW_CHEF,Anchorage,1,N-027,A-020,Award,True,"Magazine Site",NA
172,EDGE,E-190,FINAL_TABLE_FINALIST,LA,1,N-041,A-021,Award,True,"Netflix",NA
173,EDGE,E-191,MASTERCHEF_COMPETITOR,GA,1,N-037,A-080,Award,True,"Fox TV",NA
174,EDGE,E-192,TOP_CHEF_COMPETITOR,Multiple,1,N-043,A-006,Award,True,"Bravo TV",NA
